Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
5.6,56.90253,57.88996,55.07199,61.15748,60.06814,61.48693,58.2642,59.41246,61.76538,57.99637,68.37107,60.43185,2
5.7,56.89729,57.88448,55.063,61.15748,60.06814,61.48693,58.2642,59.41287,61.76538,57.99598,68.37362,60.43185,2
5.8,56.8938,57.88448,55.063,61.14392,60.06701,61.48754,58.2642,59.41287,61.76554,57.99693,68.37362,60.43273,2
5.9,56.8938,57.88028,55.04945,61.14392,60.06701,61.48754,58.24493,59.41317,61.76554,57.99693,68.37687,60.4319,2
6,56.89156,57.88028,55.04945,61.13286,60.06761,61.4865,58.24493,59.41317,61.76524,57.9975,68.3779,60.4319,2
6.1,56.89156,57.87949,55.03844,61.12273,60.06761,61.4865,58.2425,59.41387,61.76507,57.9975,68.3779,60.43202,2
6.2,56.8866,57.88257,55.03844,61.12273,60.06754,61.48708,58.2425,59.41387,61.76507,57.99744,68.37687,60.43202,2
6.3,56.8866,57.88257,55.03444,61.12194,60.06754,61.48708,58.24883,59.41416,61.76605,57.99688,68.37687,60.43267,2
6.4,56.88197,57.88738,55.03579,61.12194,60.06844,61.48618,58.24883,59.41416,61.76605,57.99688,68.37687,60.43213,2
6.5,56.868,57.88738,55.03579,61.12631,60.06844,61.48618,58.25505,59.41322,61.76617,57.99632,68.37687,60.43213,2
6.6,56.868,57.88548,55.04083,61.12631,60.06772,61.48699,58.25505,59.41322,61.76734,57.99632,68.38058,60.432,2
6.7,56.85738,57.88548,55.04083,61.07391,60.06772,61.48699,58.25386,59.41287,61.76734,57.99756,68.38983,60.432,2
6.8,56.85738,57.81255,55.0536,60.86773,60.06795,61.48681,58.25386,59.41287,61.76832,57.99756,68.38983,60.43297,2
6.9,56.80461,57.69037,55.0536,60.86773,60.06795,61.48681,58.25889,59.41294,61.76832,57.99733,68.39542,60.43261,2
7,56.80461,57.69037,55.02853,60.60803,60.06684,61.48638,58.25889,59.41294,61.76768,57.99705,68.39542,60.43261,2
7.1,56.77512,57.65151,55.02853,60.60803,60.06684,61.48638,58.25556,59.41218,61.76768,57.99705,68.39764,60.43261,2
7.2,56.76251,57.65151,54.98139,60.56493,60.0656,61.48607,58.25556,59.41218,61.76838,57.99778,68.39764,60.43332,2
7.3,56.76251,57.63989,54.97352,60.56493,60.0656,61.48607,58.25295,59.4127,61.76838,57.99778,68.39593,60.43196,2
7.4,56.75392,57.63989,54.97352,60.5542,60.06684,61.48659,58.25295,59.4127,61.76765,57.99632,68.39593,60.43196,2
7.5,56.75392,57.63288,54.97461,60.55485,60.06684,61.48659,58.25172,59.41306,61.76507,57.99632,68.39215,60.43255,2
7.6,56.75468,57.63188,54.97461,60.55485,60.06636,61.48659,58.25172,59.41306,61.76507,57.99688,68.38551,60.43255,2
7.7,56.75468,57.63188,54.9803,60.55671,60.06636,61.48575,58.24917,59.41306,61.76335,57.99688,68.38551,60.43309,2
7.8,56.75441,57.63071,54.98201,60.55671,60.06725,61.48575,58.24917,59.41358,61.76335,57.99682,68.38332,60.43357,2
7.9,56.75593,57.63071,54.98201,60.55636,60.06725,61.48705,58.24386,59.41358,61.76274,57.99677,68.38332,60.43357,2
8,56.75593,57.63171,54.99083,60.55636,60.06655,61.48705,58.24386,59.4138,61.76364,57.99677,68.38536,60.43236,2
8.1,56.75875,57.63338,54.99083,60.56152,60.06655,61.48746,58.24046,59.4138,61.76364,57.99716,68.38582,60.43236,2
8.2,56.75875,57.63338,54.99969,60.56493,60.0672,61.48746,58.24046,59.41369,61.76286,57.99716,68.38582,60.43242,2
8.3,56.75968,57.63532,54.99969,60.56493,60.0672,61.48724,58.24601,59.41369,61.76286,57.99783,68.38614,60.43351,2
8.4,56.76571,57.63532,55.00404,60.57032,60.06725,61.48724,58.24601,59.41352,61.76379,57.99733,68.38614,60.43351,2
8.5,56.76571,57.64422,55.03611,60.57032,60.06725,61.48687,58.24855,59.41352,61.76379,57.99733,68.38545,60.43339,2
8.6,56.76805,57.64422,55.03611,60.58133,60.06672,61.48687,58.24855,59.41358,61.76339,57.99756,68.38545,60.43339,2
8.7,56.76805,57.64545,55.04177,60.58133,60.06672,61.48667,58.24691,59.41358,61.76181,57.99756,68.3816,60.43381,2
8.8,56.76946,57.64601,55.04177,60.58242,60.06837,61.48667,58.24691,59.41352,61.76181,57.99744,68.38063,60.43381,2
8.9,56.76946,57.64601,55.04675,60.58284,60.06837,61.48734,58.24956,59.41352,61.76216,57.99744,68.38063,60.4332,2
9,56.76897,57.64623,55.04675,60.58284,60.06914,61.48734,58.24956,59.413,61.76216,57.99688,68.38109,60.43242,2
9.1,56.76897,57.64623,55.04561,60.5775,60.06914,61.48644,58.24849,59.413,61.7642,57.99637,68.38109,60.43242,2
9.2,56.76816,57.64612,55.04561,60.5775,60.06875,61.48644,58.24849,59.41428,61.7642,57.99637,68.38026,60.43267,2
9.3,56.76767,57.64612,55.04125,60.57326,60.06875,61.48722,58.23312,59.41428,61.76431,57.99654,68.38026,60.43267,2
9.4,56.76767,57.64534,55.0426,60.57326,60.06973,61.48722,58.23312,59.4173,61.76736,57.99654,68.38518,60.43284,2
9.5,56.768,57.64534,55.0426,60.57504,60.06973,61.48846,58.21697,59.4173,61.76736,57.99738,68.3965,60.43284,2
9.6,56.768,57.64684,55.04711,60.57818,60.06973,61.48846,58.21697,59.41823,61.76994,57.99738,68.3965,60.43422,2
9.7,56.76789,57.64578,55.04711,60.57818,60.07057,61.4885,58.21697,59.41823,61.76994,57.99682,68.41464,60.43351,2
9.8,56.76789,57.64578,55.044,60.57368,60.07057,61.4885,58.2237,59.41765,61.77514,57.99682,68.41464,60.43351,2
9.9,56.76767,57.64662,55.04306,60.57368,60.07051,61.4887,58.2237,59.41765,61.77514,57.99682,68.45737,60.43536,2
10,56.76865,57.64662,55.04306,60.57511,60.07051,61.4887,58.22646,59.41695,61.8024,57.99784,68.45737,60.43536,2
10.1,56.76865,57.64795,55.04758,60.5778,60.07192,61.48881,58.22646,59.41695,61.8024,57.99784,68.50855,60.43458,2
10.2,56.76832,57.64606,55.04758,60.5778,60.07192,61.48881,58.22347,59.41544,61.8372,57.99874,68.50855,60.43458,2
10.3,56.76832,57.64606,55.04618,60.57408,60.07115,61.49201,58.22347,59.41544,61.84826,57.99874,68.52969,60.43429,2
10.4,56.76734,57.64756,55.044,60.57408,60.07115,61.49201,58.24109,59.4138,61.84826,57.99907,68.55073,60.43429,2
10.5,56.76772,57.64756,55.044,60.57247,60.07098,61.49305,58.24109,59.4138,61.85142,57.99907,68.55073,60.43487,2
10.6,56.76772,57.64606,55.04727,60.57247,60.07098,61.49305,58.23267,59.41568,61.85142,57.99738,68.5758,60.43487,2
10.7,56.76843,57.64606,55.04727,60.57786,60.07085,61.49405,58.23267,59.41568,61.85419,57.99666,68.5758,60.43363,2
10.8,56.76843,57.64506,55.04971,60.57786,60.07085,61.49405,58.21302,59.41683,61.85419,57.99666,68.58742,60.43292,2
10.9,56.76832,57.64539,55.04971,60.57913,60.07097,61.49328,58.21302,59.41683,61.85376,57.99682,68.60117,60.43292,2
0.1,56.77751,57.65134,55.05412,60.65795,60.06909,61.49128,58.31602,59.41095,61.75415,57.99671,68.35746,60.42998,3
0.2,56.77751,57.65045,55.05771,60.67004,60.06945,61.49128,58.31602,59.41113,61.75482,57.99677,68.35746,60.43101,3
0.3,56.77892,57.64862,55.05771,60.67004,60.06945,61.49071,58.31387,59.41113,61.75482,57.99677,68.36437,60.43057,3
0.4,56.77892,57.64862,55.05932,60.67118,60.06896,61.49071,58.31387,59.41125,61.75705,57.99677,68.36437,60.43057,3
0.5,56.7761,57.64267,55.05376,60.67118,60.06896,61.48944,58.31948,59.41125,61.75705,57.99677,68.37541,60.43118,3
0.6,56.77273,57.64267,55.05376,60.64738,60.06742,61.48944,58.31948,59.40933,61.75946,57.99643,68.38748,60.43118,3
0.7,56.77273,57.64061,55.0523,60.64738,60.06742,61.48852,58.32293,59.40933,61.76185,57.99643,68.38748,60.43112,3
0.8,56.76778,57.63627,55.0523,60.61049,60.06843,61.48852,58.32293,59.40892,61.76185,57.9966,68.3912,60.43064,3
0.9,56.76778,57.63627,55.04929,60.60359,60.06843,61.48809,58.32418,59.40892,61.7642,57.99817,68.3912,60.43064,3
1,56.7668,57.63594,55.04929,60.60359,60.06903,61.48809,58.32418,59.40881,61.7642,57.99817,68.40538,60.43165,3
1.1,56.7668,57.63594,55.04639,60.59639,60.06903,61.4893,58.32621,59.40881,61.76803,57.99615,68.43115,60.43165,3
1.2,56.76479,57.63588,55.0427,60.59639,60.06791,61.4893,58.32621,59.40996,61.83645,57.99615,68.43115,60.43152,3
1.3,56.76028,57.63588,55.0427,60.59083,60.06791,61.48875,58.32621,59.40996,61.83645,57.99811,68.51476,60.43152,3
1.4,56.76028,57.62909,55.01401,60.5693,60.06791,61.48875,58.32672,59.40996,61.84794,57.99767,68.51476,60.43064,3
1.5,56.75609,57.6247,55.01401,60.5693,60.06892,61.48889,58.32672,59.40996,61.84794,57.99767,68.52514,60.4307,3
1.6,56.75609,57.6247,54.99238,60.5699,60.06892,61.48889,58.3274,59.40956,61.8503,57.99756,68.53232,60.4307,3
1.7,56.75631,57.62682,55.00119,60.5699,60.06914,61.48979,58.3274,59.40956,61.85055,57.99756,68.53232,60.43106,3
1.8,56.76131,57.62682,55.00119,60.57721,60.06914,61.48979,58.32582,59.4106,61.85055,57.99806,68.5411,60.43106,3
1.9,56.76131,57.63327,55.02822,60.57721,60.06873,61.48938,58.32582,59.4106,61.85174,57.99682,68.5411,60.43112,3
2,56.7661,57.64033,55.02822,60.58908,60.06873,61.48938,58.32508,59.41019,61.85174,57.99682,68.55188,60.43244,3
2.1,56.7661,57.64033,55.04348,60.59723,60.06784,61.49011,58.32508,59.41019,61.85303,57.99677,68.55188,60.43244,3
2.2,56.77006,57.64746,55.05542,60.59723,60.06784,61.49011,58.32638,59.41014,61.85382,57.99677,68.55784,60.43297,3
2.3,56.77844,57.64746,55.05542,60.63521,60.06867,61.48956,58.32638,59.41014,61.85382,57.99778,68.56066,60.43297,3
2.4,56.77844,57.65914,55.06165,60.63521,60.06867,61.48956,58.32621,59.41032,61.85279,57.99778,68.56066,60.43326,3
2.5,56.78197,57.65914,55.06165,60.65407,60.06844,61.48956,58.32621,59.41032,61.85279,57.99744,68.55733,60.43165,3
2.6,56.78197,57.66415,55.06612,60.6781,60.06844,61.48956,58.32435,59.41078,61.85259,57.9966,68.55733,60.43165,3
2.7,56.78888,57.674,55.06612,60.6781,60.06932,61.48907,58.32435,59.41078,61.85259,57.9966,68.55791,60.43292,3
2.8,56.78888,57.674,55.07209,60.7213,60.06932,61.48907,58.32264,59.41153,61.85279,57.99677,68.5581,60.43292,3
2.9,56.79633,57.68123,55.07557,60.7213,60.0695,61.48877,58.32264,59.41153,61.85428,57.99677,68.5581,60.43249,3
3,56.79927,57.68123,55.07557,60.73393,60.0695,61.48877,58.32236,59.41066,61.85428,57.99767,68.56188,60.43249,3
3.1,56.79927,57.68435,55.07666,60.73393,60.06973,61.48975,58.32236,59.41066,61.85501,57.99767,68.56188,60.43152,3
