Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
4,57.02183,58.45155,55.14021,61.52623,60.21791,61.53143,60.20881,59.50718,61.81519,57.95518,68.35828,60.22331,2
4.1,57.02183,58.51404,55.15515,61.52623,60.21803,61.53112,60.20881,59.50718,61.81519,57.95518,68.41031,60.2154,2
4.2,57.02325,58.49429,55.15515,61.53691,60.21803,61.53112,60.24006,59.50706,61.85326,57.95547,68.45046,60.2154,2
4.3,57.02325,58.49429,55.14818,61.53261,60.21713,61.5312,60.24006,59.50706,61.91689,57.95547,68.45046,60.19499,2
4.4,57.01931,58.47729,55.14818,61.53261,60.21713,61.5312,60.21059,59.50677,61.91689,57.95603,68.49432,60.22059,2
4.5,57.01931,58.47729,55.14427,61.53063,60.21719,61.53181,60.21059,59.50677,61.98451,57.95513,68.49432,60.22059,2
4.6,57.03371,58.5282,55.15843,61.53063,60.21719,61.53181,60.23822,59.5067,61.98451,57.95513,68.53405,60.32492,2
4.7,57.0692,58.5282,55.15843,61.53623,60.2169,61.53137,60.23822,59.5067,62.01368,57.95502,68.54752,60.32492,2
4.8,57.0692,58.62885,55.17984,61.53623,60.2169,61.53137,60.23828,59.50682,62.01354,57.95502,68.54752,60.33676,2
4.9,57.07633,58.60472,55.17984,61.6675,60.21677,61.53137,60.23828,59.50682,62.01354,57.95541,68.52565,60.3383,2
5,57.07633,58.60472,55.18182,61.6459,60.21677,61.53022,60.20941,59.50682,62.00523,57.95608,68.52565,60.3383,2
5.1,57.06558,58.53663,55.18182,61.6459,60.21731,61.53022,60.20941,59.50607,62.00523,57.95608,68.52483,60.34253,2
5.2,57.02385,58.53663,55.15239,61.53334,60.21731,61.53083,60.23852,59.50607,62.00798,57.95659,68.52483,60.34253,2
5.3,57.02385,58.37953,55.06264,61.53334,60.21666,61.53083,60.23852,59.50588,62.0163,57.95659,68.54207,60.35786,2
5.4,56.92414,58.37953,55.06264,61.35942,60.21666,61.53047,60.23786,59.50588,62.0163,57.95412,68.54778,60.35786,2
5.5,56.92414,58.01979,54.87097,61.16209,60.21637,61.53047,60.23786,59.5056,62.00357,57.95412,68.54778,60.37156,2
5.6,56.86016,58.0696,54.87097,61.16209,60.21637,61.53088,60.20887,59.5056,62.00357,57.95536,68.5163,60.36674,2
5.7,56.86016,58.0696,54.85289,61.20761,60.21696,61.53088,60.20887,59.50502,61.9653,57.95496,68.5163,60.36674,2
5.8,56.79214,57.98582,54.85289,61.20761,60.21696,61.53076,60.20946,59.50502,61.9653,57.95496,68.4833,60.20484,2
5.9,56.79214,57.98582,54.83513,61.1786,60.21713,61.53076,60.20946,59.50455,61.8803,57.95614,68.41798,60.20484,2
6,56.77414,57.95743,54.83673,61.1786,60.21713,61.53057,60.23846,59.50455,61.79499,57.95614,68.41798,60.19095,2
6.1,56.78524,57.95743,54.83673,61.18703,60.21772,61.53057,60.23846,59.50461,61.79499,57.95401,68.37623,60.19095,2
6.2,56.78524,58.04137,54.87789,61.18703,60.21772,61.53076,60.23727,59.50461,61.86076,57.95401,68.37623,60.24364,2
6.3,56.83439,58.04137,54.87789,61.22853,60.21666,61.53076,60.23727,59.50467,61.86076,57.95396,68.40417,60.24364,2
6.4,56.83439,58.11372,54.89976,61.21552,60.21666,61.53045,60.20858,59.50467,61.89498,57.95378,68.40417,60.21386,2
6.5,56.81587,58.04975,54.89976,61.21552,60.21749,61.53045,60.20858,59.50397,61.89498,57.95378,68.40781,60.21303,2
6.6,56.81587,58.04975,54.85656,61.18218,60.21749,61.53083,60.20822,59.50397,61.89472,57.95496,68.40781,60.21303,2
6.7,56.77947,58.0057,54.84922,61.18218,60.21719,61.53083,60.20822,59.50431,61.87253,57.95496,68.41337,60.24548,2
6.8,56.78698,58.0057,54.84922,61.14229,60.21719,61.53118,60.20763,59.50431,61.87253,57.95642,68.40736,60.24548,2
6.9,56.78698,58.06217,54.85666,61.09904,60.21719,61.53118,60.20763,59.50368,61.84785,57.95642,68.40736,60.21713,2
7,56.73762,57.75465,54.85666,61.09904,60.21797,61.53034,60.20763,59.50368,61.84785,57.95608,68.40071,60.21713,2
7.1,56.73762,57.75465,54.79577,61.03776,60.21797,61.53034,60.23655,59.50315,61.85594,57.95592,68.40071,60.24495,2
7.2,56.70276,57.69232,54.79577,61.03776,60.2185,61.53169,60.23655,59.50315,61.85594,57.95592,68.402,60.21422,2
7.3,56.67888,57.69232,54.77391,60.98021,60.2185,61.53169,60.20763,59.50308,61.87314,57.95586,68.402,60.21422,2
7.4,56.67888,57.64751,54.75696,60.98021,60.21744,61.53129,60.20763,59.50308,61.85635,57.95586,68.41043,60.21523,2
7.5,56.6695,57.63138,54.75696,60.93353,60.21744,61.53129,60.23691,59.50256,61.85635,57.95586,68.38921,60.21523,2
7.6,56.6695,57.63138,54.75408,60.92523,60.21749,61.5323,60.23691,59.50256,61.78446,57.95536,68.38921,60.21166,2
7.7,56.667,57.6217,54.75408,60.92523,60.21749,61.5323,60.20792,59.50216,61.78446,57.95536,68.35184,60.24079,2
7.8,56.667,57.6217,54.75084,60.91678,60.21867,61.53181,60.20792,59.50216,61.78197,57.95508,68.35184,60.24079,2
7.9,56.66429,57.60724,54.75032,60.91678,60.21867,61.53181,60.20769,59.50297,61.78197,57.95508,68.34066,60.204,2
8,56.66174,57.60724,54.75032,60.91678,60.21689,61.53143,60.20769,59.50297,61.77875,57.95429,68.33217,60.204,2
8.1,56.66174,57.59669,54.74769,60.9092,60.21689,61.53143,60.20685,59.50116,61.77933,57.95429,68.33217,60.23894,2
8.2,56.6612,57.58774,54.74769,60.9092,60.21595,61.53034,60.20685,59.50116,61.77933,57.95451,68.33269,60.23894,2
8.3,56.6612,57.58774,54.7445,60.89774,60.21595,61.53034,60.20649,59.50116,61.77784,57.95451,68.33269,60.23835,2
8.4,56.65947,57.57619,54.74208,60.89774,60.21641,61.53014,60.20649,59.50116,61.77784,57.95558,68.32873,60.23894,2
8.5,56.65866,57.57619,54.74208,60.89484,60.21641,61.53014,60.20507,59.50116,61.77691,57.95474,68.32873,60.23894,2
8.6,56.65866,57.55326,54.74172,60.89387,60.21582,61.52984,60.20507,59.50116,61.77691,57.95474,68.3274,60.20318,2
8.7,56.65714,57.55326,54.74172,60.89387,60.21582,61.52984,60.20503,59.50123,61.77581,57.95518,68.3274,60.20318,2
8.8,56.65714,57.54682,54.74172,60.89458,60.21487,61.52978,60.20503,59.50123,61.77723,57.95518,68.32656,60.23823,2
8.9,56.6554,57.53889,54.74172,60.89458,60.21487,61.52978,60.23501,59.50163,61.77723,57.95412,68.32502,60.23823,2
9,56.6554,57.53889,54.74218,60.89321,60.21487,61.52973,60.23501,59.50163,61.77593,57.95412,68.32502,60.20229,2
9.1,56.65269,57.52918,54.74337,60.89321,60.21487,61.52973,60.20453,59.50099,61.77593,57.95586,68.32221,60.23698,2
9.2,56.65231,57.52918,54.74337,60.89926,60.21475,61.52973,60.20453,59.50099,61.77567,57.95586,68.32221,60.23698,2
9.3,56.65231,57.52652,54.74275,60.89926,60.21475,61.53051,60.20413,59.50099,61.77567,57.95586,68.32165,60.23687,2
9.4,56.64884,57.52031,54.74275,60.89429,60.21612,61.53051,60.20413,59.50023,61.77599,57.95631,68.32165,60.23687,2
9.5,56.64884,57.52031,54.73276,60.8702,60.21612,61.5299,60.20436,59.50023,61.77599,57.95631,68.32247,60.20258,2
9.6,56.6431,57.51177,54.73276,60.8702,60.21599,61.5299,60.20436,59.49994,61.77543,57.95726,68.32247,60.20258,2
9.7,56.6431,57.51177,54.70287,60.83587,60.21599,61.53016,60.23478,59.49994,61.77352,57.95726,68.3175,60.23746,2
9.8,56.63492,57.50185,54.67542,60.83587,60.21647,61.53016,60.23478,59.49936,61.77352,57.95586,68.31726,60.23746,2
0.1,56.6695,57.63438,54.70472,60.86688,60.2642,61.54217,59.97941,59.48717,61.78685,57.95457,68.33914,60.24256,3
0.2,56.66879,57.63271,54.70472,60.86688,60.2642,61.54217,60.02353,59.49008,61.78685,57.95502,68.34386,60.24256,3
0.3,56.6689,57.63271,54.70025,60.86276,60.25667,61.53998,60.02353,59.49008,61.78636,57.95502,68.34386,60.24191,3
0.4,56.6689,57.63254,54.69983,60.86276,60.25667,61.53998,60.07032,59.49242,61.78636,57.95463,68.34366,60.24191,3
0.5,56.67015,57.63254,54.69983,60.86108,60.2525,61.5504,60.07032,59.49242,61.78717,57.95463,68.34366,60.2412,3
0.6,56.67015,57.6351,54.70066,60.85849,60.2525,61.5504,60.14396,59.49452,61.78717,57.95619,68.34099,60.24197,3
0.7,56.6702,57.63544,54.70066,60.85849,60.25089,61.54225,60.14396,59.49452,61.78709,57.95569,68.34099,60.24197,3
0.8,56.66972,57.63544,54.69953,60.85552,60.25089,61.54225,60.08015,59.49324,61.78709,57.95569,68.34073,60.24103,3
0.9,56.66972,57.63521,54.69829,60.85552,60.24904,61.53701,60.08015,59.49324,61.78612,57.95575,68.34073,60.24103,3
1,56.66961,57.63521,54.69829,60.85034,60.24904,61.53701,60.02066,59.48956,61.78606,57.95575,68.33767,60.24138,3
1.1,56.66961,57.6351,54.69639,60.85034,60.24535,61.53047,60.02066,59.48956,61.78606,57.95479,68.33977,60.24138,3
