Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
4.7,56.6217,57.81802,55.1652,60.54157,60.05029,61.4803,58.21347,59.31352,61.73441,58.03064,68.20159,60.43643,2
4.8,56.6217,57.81802,55.16598,60.54366,60.05069,61.4803,58.21347,59.31427,61.73885,58.03019,68.20159,60.43643,2
4.9,56.62322,57.82087,55.16598,60.54366,60.05069,61.4803,58.21246,59.31427,61.73885,58.03019,68.19999,60.43559,2
5,56.62322,57.82087,55.16723,60.54414,60.04974,61.4803,58.21246,59.31393,61.74021,58.03159,68.21196,60.43559,2
5.1,56.62332,57.82216,55.16844,60.54414,60.04974,61.48073,58.21189,59.31393,61.74706,58.03159,68.21196,60.43576,2
5.2,56.62468,57.82216,55.16844,60.54396,60.04974,61.48073,58.21189,59.31503,61.74706,58.03198,68.22279,60.43576,2
5.3,56.62468,57.824,55.16875,60.54396,60.04974,61.4814,58.21228,59.31503,61.75198,58.03126,68.22279,60.43548,2
5.4,56.62452,57.824,55.16875,60.54463,60.04934,61.4814,58.21228,59.31473,61.75198,58.03126,68.23336,60.43698,2
5.5,56.62452,57.8254,55.16952,60.54912,60.04934,61.48122,58.21228,59.31473,61.75956,58.03249,68.23336,60.43698,2
5.6,56.62668,57.83116,55.16952,60.54912,60.04934,61.48122,58.21263,59.31456,61.7642,58.03249,68.244,60.4371,2
5.7,56.62668,57.83116,55.17255,60.55623,60.04968,61.48117,58.21263,59.31456,61.7642,58.03126,68.24655,60.4371,2
5.8,56.62825,57.83524,55.17458,60.55623,60.04968,61.48117,58.21212,59.31421,61.76524,58.03126,68.24655,60.43733,2
5.9,56.63351,57.83524,55.17458,60.56547,60.04878,61.48036,58.21212,59.31421,61.76524,58.03131,68.24922,60.43668,2
6,56.63351,57.84721,55.17875,60.56547,60.04878,61.48036,58.21076,59.31521,61.76532,58.03131,68.24922,60.43668,2
6.1,56.63708,57.85851,55.17875,60.5759,60.04968,61.4803,58.21076,59.31521,61.76532,58.03131,68.25062,60.43679,2
6.2,56.63708,57.85851,55.18109,60.58662,60.04968,61.4803,58.20862,59.3152,61.76568,58.03109,68.25055,60.43679,2
6.3,56.63871,57.86259,55.18109,60.58662,60.0491,61.48012,58.20862,59.3152,61.76748,58.03109,68.25055,60.43601,2
6.4,56.63958,57.86259,55.1826,60.59052,60.0491,61.48012,58.20811,59.31543,61.76748,58.03187,68.2515,60.4359,2
6.5,56.63958,57.86265,55.18219,60.59052,60.05056,61.48146,58.20811,59.31543,61.76815,58.03131,68.2515,60.4359,2
6.6,56.63958,57.86265,55.18219,60.58547,60.05056,61.48146,58.20856,59.31514,61.76815,58.03131,68.24903,60.43697,2
6.7,56.63958,57.86309,55.18208,60.58471,60.05099,61.4814,58.20856,59.31514,61.76667,58.03232,68.2498,60.43697,2
6.8,56.64017,57.86438,55.18208,60.58471,60.05099,61.4814,58.20766,59.31555,61.76724,58.03232,68.2498,60.43678,2
6.9,56.64017,57.86438,55.18291,60.58553,60.05086,61.48148,58.20766,59.31555,61.76724,58.03109,68.24993,60.43678,2
7,56.63828,57.86142,55.18291,60.58553,60.05086,61.48148,58.20619,59.31531,61.76748,58.03165,68.24993,60.43536,2
7.1,56.63985,57.86142,55.18198,60.58799,60.05062,61.48128,58.20619,59.31531,61.76748,58.03165,68.24985,60.43595,2
7.2,56.63985,57.86376,55.18323,60.58799,60.05062,61.48128,58.20687,59.31497,61.76692,58.03142,68.24985,60.43595,2
7.3,56.64109,57.86555,55.18323,60.5886,60.0508,61.48061,58.20687,59.31497,61.76759,58.03142,68.25445,60.43745,2
7.4,56.64109,57.86555,55.18396,60.58722,60.0508,61.48061,58.20648,59.31473,61.76759,58.03109,68.25705,60.43745,2
7.5,56.64153,57.86544,55.18396,60.58722,60.05091,61.4814,58.20648,59.31473,61.76753,58.03109,68.25705,60.43733,2
7.6,56.64353,57.86544,55.18432,60.59184,60.05091,61.4814,58.20602,59.31473,61.76753,58.03164,68.25674,60.4375,2
7.7,56.64353,57.87591,55.18833,60.59184,60.05046,61.4814,58.20602,59.31421,61.76773,58.03097,68.25674,60.4375,2
0.1,56.61119,57.82686,55.1675,60.5611,60.05613,61.48595,58.2098,59.31229,61.76748,58.03317,68.2477,60.44056,3
0.2,56.61119,57.82943,55.16718,60.55564,60.05613,61.48595,58.20992,59.31276,61.76748,58.03317,68.24622,60.43907,3
0.3,56.61212,57.82669,55.16718,60.55564,60.05707,61.48546,58.20992,59.31276,61.76771,58.03249,68.25006,60.43907,3
0.4,56.61212,57.82669,55.1664,60.55031,60.05707,61.48546,58.20957,59.31206,61.76852,58.03249,68.25006,60.43857,3
0.5,56.60903,57.81892,55.16354,60.55031,60.05754,61.48546,58.20957,59.31206,61.76852,58.033,68.25081,60.43857,3
0.6,56.60313,57.81892,55.16354,60.54312,60.05754,61.48569,58.20867,59.31206,61.76852,58.03362,68.25081,60.43869,3
0.7,56.60313,57.81344,55.16301,60.54312,60.05743,61.48569,58.20867,59.31183,61.76852,58.03362,68.25215,60.43846,3
0.8,56.60481,57.81344,55.16301,60.54475,60.05743,61.48477,58.22821,59.31183,61.76927,58.03221,68.25215,60.43846,3
0.9,56.60481,57.81836,55.16479,60.5487,60.05288,61.48477,58.22821,59.31915,61.76951,58.03221,68.25604,60.43924,3
