elapsed_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial,category,label
1.7,1.0001483895760999,1.000503080016008,1.000258093466496,1.0002918341935079,1.000107613756293,1.0000544534289892,1.0032618252402874,1.0005609390166192,1.0000229805590943,1.0000464136003928,1.0000514860301726,1.0007936544848954,28,coin,coin not pressed
1.8,1.0001665633291774,1.0005734067725711,1.000258093466496,1.0002918341935079,1.000107613756293,1.0000698954461653,1.0028805686151212,1.0005609390166192,1.0000399732260303,1.0000300221801797,1.0000514860301726,1.0007936544848954,28,coin,coin not pressed
1.9,1.0001693864364516,1.0005734067725711,1.0002703749027566,1.000324187224527,1.000130033288854,1.0000698954461653,1.0028805686151212,1.0005493438122612,1.0000407824006463,1.0000300221801797,1.0000803006550134,1.0003699180698749,28,coin,coin not pressed
2.0,1.0001693864364516,1.0005300618161745,1.0002535108410253,1.000324187224527,1.000130033288854,1.0000998041952223,1.0028987157645286,1.0005493438122612,1.0000407824006463,1.0000358885832032,1.0000785454494394,1.0003699180698749,28,coin,coin not pressed
2.1,1.0001570353421272,1.0005300618161745,1.0002535108410253,1.0003562117983786,1.000130033288854,1.0000998041952223,1.0028987157645286,1.0005599307379793,1.0000639247946639,1.0000358885832032,1.0000785454494394,1.0003621110877086,28,coin,coin not pressed
2.2,1.0001570353421272,1.0004807982713546,1.0002571769414017,1.0003562117983786,1.0001577670809851,1.0001425542006674,1.0028987157645286,1.0005599307379793,1.0000639247946639,1.000035716041938,1.000093464696819,1.0003652671017758,28,coin,coin not pressed
2.3,1.0001895010757802,1.0005020355592273,1.0002571769414017,1.000307600137558,1.0001577670809851,1.0001425542006674,1.0030560465552631,1.0005600987844192,1.0000789754425214,1.000039684491042,1.000093464696819,1.0003652671017758,28,coin,coin not pressed
2.4,1.0001895010757802,1.0005020355592273,1.0002318808488049,1.0002469997901158,1.0002092489705698,1.000185466753662,1.0030560465552631,1.0005600987844192,1.0000789754425214,1.000039684491042,1.0000532412357468,1.0003709147058961,28,coin,coin not pressed
2.5,1.0001760913162279,1.0004807982713546,1.0002318808488049,1.0002469997901158,1.0002092489705698,1.000185466753662,1.0020234904027385,1.000584465518215,1.0000686180074367,1.0000369238307958,1.0000532412357468,1.0003709147058961,28,coin,coin not pressed
2.6,1.0001617993356524,1.0004807982713546,1.000258093466496,1.0001965816148728,1.0001941365449176,1.0002033469840765,1.0020234904027385,1.000584465518215,1.0000699126868222,1.0000369238307958,1.0000112625691002,1.0003768945220233,28,coin,coin not pressed
2.7,1.0001617993356524,1.0004463311975933,1.0002835728641115,1.0001965816148728,1.0001941365449176,1.0002033469840765,1.0019712132934362,1.0005256492642256,1.0000699126868222,1.0000329553816916,1.000018575925659,1.0003768945220233,28,coin,coin not pressed
2.8,1.0001741504299768,1.0004463311975933,1.0002835728641115,1.0001568382975803,1.0002212060546023,1.000238944897356,1.0019712132934362,1.0005256492642256,1.0000831831505246,1.0000329553816916,1.000018575925659,1.0003768945220233,28,coin,coin not pressed
2.9,1.0001741504299768,1.0004731389216297,1.000482642114548,1.0001568382975803,1.0002212060546023,1.000238944897356,1.0020591187511165,1.0002981143845064,1.0000831831505246,1.0000369238307958,1.0,1.0003768945220233,28,coin,coin not pressed
3.0,1.0002803698411684,1.0007131899050468,1.000482642114548,1.0002923268792594,1.0002379791863703,1.0001607595261803,1.0020591187511165,1.0002981143845064,1.0000600407565072,1.0000260537310754,1.0,1.000372741871935,28,coin,coin not pressed
3.1,1.0002803698411684,1.0007131899050468,1.001254539548791,1.0004831604936975,1.0002379791863703,1.0001607595261803,1.001441949183653,1.000228207065479,1.0000600407565072,1.0000260537310754,1.0000421249337776,1.0003856981402108,28,coin,coin not pressed
3.2,1.000458578487852,1.001158128493599,1.001254539548791,1.0004831604936975,1.0003147038089124,1.000276330833677,1.001441949183653,1.000228207065479,1.000077033423443,1.0000407197386345,1.0000421249337776,1.0003856981402108,28,coin,coin not pressed
3.3,1.0033674376455002,1.001158128493599,1.0024964310512836,1.0046852772687604,1.0003147038089124,1.000276330833677,1.0006947527933707,1.0001646855111703,1.000077033423443,1.0000407197386345,1.000036566782793,1.0004046342246138,28,coin,coin not pressed
3.4,1.0033674376455002,1.0101152157682336,1.0075534499104373,1.0046852772687604,1.0003286537402838,1.0002839705684905,1.0006947527933707,1.0001646855111703,1.0000878763632974,1.0000213951169097,1.0001120406224777,1.0004046342246138,28,coin,coin not pressed
3.5,1.0049669043605363,1.0101152157682336,1.0075534499104373,1.0063152459635079,1.0003286537402838,1.0002839705684905,1.0004641674545693,1.0000352897523936,1.0001179776590126,1.0000213951169097,1.0001120406224777,1.0008785346527023,28,coin,coin not pressed
3.6,1.0049669043605363,1.012674831185321,1.008823387080809,1.0078051276762279,1.000330480517011,1.0003008755136096,1.0004641674545693,1.0000352897523936,1.0001179776590126,1.0000474488479851,1.0007542995954544,1.0008785346527023,28,coin,coin not pressed
3.7,1.0055512875662944,1.014098948005723,1.008823387080809,1.0078051276762279,1.000330480517011,1.0003008755136096,1.0003023414983852,1.0000732682478268,1.0011072745445317,1.000050382049497,1.0007542995954544,1.0010097583954958,28,coin,coin pressed
